zip_code,city,county
21501,CUMB,ALLEGANY COUNTY
21502,CUMB,ALLEGANY COUNTY
21503,CUMB,ALLEGANY COUNTY
21504,CUMB,ALLEGANY COUNTY
21505,CUMB,ALLEGANY COUNTY
21521,BART,ALLEGANY COUNTY
21530,FLIN,ALLEGANY COUNTY
21532,FROS,ALLEGANY COUNTY
21539,LONA,ALLEGANY COUNTY
21540,LUKE,ALLEGANY COUNTY
21545,MTSA,ALLEGANY COUNTY
21555,OLDT,ALLEGANY COUNTY
21562,WEST,ALLEGANY COUNTY
21766,LO,ALLEGANY COUNTY
26750,PDMT,ALLEGANY COUNTY
21561,SWAN,ALLEGANY COUNTY
26753,RIDG,ALLEGANY COUNTY
26726,KYSR,ALLEGANY COUNTY
15545,HYND,ALLEGANY COUNTY
