zip_code,city,county
21501,CUMBERLAND,ALLEGANY COUNTY
21502,CUMBERLAND,ALLEGANY COUNTY
21503,CUMBERLAND,ALLEGANY COUNTY
21504,CUMBERLAND,ALLEGANY COUNTY
21505,CUMBERLAND,ALLEGANY COUNTY
21521,BARTON,ALLEGANY COUNTY
21524,CORRIGANVILLE,ALLEGANY COUNTY
21528,ECKHART MINES,ALLEGANY COUNTY
21529,ELLERSLIE,ALLEGANY COUNTY
21530,FLINTSTONE,ALLEGANY COUNTY
21532,FROSTBURG,ALLEGANY COUNTY
21539,LONACONING,ALLEGANY COUNTY
21540,LUKE,ALLEGANY COUNTY
21542,MIDLAND,ALLEGANY COUNTY
21543,MIDLOTHIAN,ALLEGANY COUNTY
21545,MOUNT SAVAGE,ALLEGANY COUNTY
21555,OLDTOWN,ALLEGANY COUNTY
21556,PINTO,ALLEGANY COUNTY
21557,RAWLINGS,ALLEGANY COUNTY
21560,SPRING GAP,ALLEGANY COUNTY
21562,WESTERNPORT,ALLEGANY COUNTY
21766,LITTLE ORLEANS,ALLEGANY COUNTY
