zip_code,city,county
21013,BALDWIN,BALTIMORE COUNTY
21020,BORING,BALTIMORE COUNTY
21022,BROOKLANDVILLE,BALTIMORE COUNTY
21023,BUTLER,BALTIMORE COUNTY
21027,CHASE,BALTIMORE COUNTY
21030,COCKEYSVILLE,BALTIMORE COUNTY
21031,HUNT VALLEY,BALTIMORE COUNTY
21051,FORK,BALTIMORE COUNTY
21052,FORT HOWARD,BALTIMORE COUNTY
21053,FREELAND,BALTIMORE COUNTY
21057,GLEN ARM,BALTIMORE COUNTY
21065,HUNT VALLEY,BALTIMORE COUNTY
21071,GLYNDON,BALTIMORE COUNTY
21082,HYDES,BALTIMORE COUNTY
21087,KINGSVILLE,BALTIMORE COUNTY
21092,LONG GREEN,BALTIMORE COUNTY
21093,LUTHERVILLE TIMONIUM,BALTIMORE COUNTY
21094,LUTHERVILLE TIMONIUM,BALTIMORE COUNTY
21105,MARYLAND LINE,BALTIMORE COUNTY
21111,MONKTON,BALTIMORE COUNTY
21117,OWINGS MILLS,BALTIMORE COUNTY
21120,PARKTON,BALTIMORE COUNTY
21128,PERRY HALL,BALTIMORE COUNTY
21131,PHOENIX,BALTIMORE COUNTY
21133,RANDALLSTOWN,BALTIMORE COUNTY
21136,REISTERSTOWN,BALTIMORE COUNTY
21139,RIDERWOOD,BALTIMORE COUNTY
21152,SPARKS GLENCOE,BALTIMORE COUNTY
21153,STEVENSON,BALTIMORE COUNTY
21155,UPPERCO,BALTIMORE COUNTY
21156,UPPER FALLS,BALTIMORE COUNTY
21162,WHITE MARSH,BALTIMORE COUNTY
21204,TOWSON,BALTIMORE COUNTY
21207,GWYNN OAK,BALTIMORE COUNTY
21208,PIKESVILLE,BALTIMORE COUNTY
21219,SPARROWS POINT,BALTIMORE COUNTY
21220,MIDDLE RIVER,BALTIMORE COUNTY
21221,ESSEX,BALTIMORE COUNTY
21222,DUNDALK,BALTIMORE COUNTY
21227,HALETHORPE,BALTIMORE COUNTY
21228,CATONSVILLE,BALTIMORE COUNTY
21234,PARKVILLE,BALTIMORE COUNTY
21236,NOTTINGHAM,BALTIMORE COUNTY
21237,ROSEDALE,BALTIMORE COUNTY
21244,WINDSOR MILL,BALTIMORE COUNTY
21250,BALTIMORE,BALTIMORE COUNTY
21252,BALTIMORE,BALTIMORE COUNTY
21282,BALTIMORE,BALTIMORE COUNTY
21284,BALTIMORE,BALTIMORE COUNTY
21285,BALTIMORE,BALTIMORE COUNTY
21286,TOWSON,BALTIMORE COUNTY
