zip_code,city,county
21048,FINKSBURG,CARROLL COUNTY
21074,HAMPSTEAD,CARROLL COUNTY
21088,LINEBORO,CARROLL COUNTY
21102,MANCHESTER,CARROLL COUNTY
21104,MARRIOTTSVILLE,CARROLL COUNTY
21157,WESTMINSTER,CARROLL COUNTY
21757,KEYMAR,CARROLL COUNTY
21776,NEW WINDSOR,CARROLL COUNTY
21784,SYKESVILLE,CARROLL COUNTY
21787,TANEYTOWN,CARROLL COUNTY
21791,UNION BRIDGE,CARROLL COUNTY
21771,MOUNT AIRY,CARROLL COUNTY
21776,NEW WINDSOR,CARROLL COUNTY
21136,REISTERSTOWN,CARROLL COUNTY
21797,WOODBINE,CARROLL COUNTY
