zip_code,city,county
20618,BUSHWOOD,SAINT MARY'S COUNTY
20619,CALIFORNIA,SAINT MARY'S COUNTY
20620,CALLAWAY,SAINT MARY'S COUNTY
20622,CHARLOTTE HALL,SAINT MARY'S COUNTY
20626,COLTONS POINT,SAINT MARY'S COUNTY
20628,DAMERON,SAINT MARY'S COUNTY
20634,GREAT MILLS,SAINT MARY'S COUNTY
20635,HELEN,SAINT MARY'S COUNTY
20636,HOLLYWOOD,SAINT MARY'S COUNTY
20650,LEONARDTOWN,SAINT MARY'S COUNTY
20653,LEXINGTON PARK,SAINT MARY'S COUNTY
20656,LOVEVILLE,SAINT MARY'S COUNTY
20659,MECHANICSVILLE,SAINT MARY'S COUNTY
20660,MORGANZA,SAINT MARY'S COUNTY
20667,PARK HALL,SAINT MARY'S COUNTY
20674,PINEY POINT,SAINT MARY'S COUNTY
20680,RIDGE,SAINT MARY'S COUNTY
